id,vehicle_identifier,longitude,latitude,date_time
18676392,YIFR2,-15.389184,27.9619331,2024-10-29 11:01:55
18676393,CYEL8,-15.4164476,28.1372166,2024-10-29 11:01:55
18676508,EAFP7,-15.4131203,28.1527557,2024-10-29 11:02:51
18676509,QLJD0,-15.4127874,28.1042423,2024-10-29 11:02:54
18676510,YIFR2,-15.3899517,27.9649277,2024-10-29 11:02:54
18676511,CYEL8,-15.4155779,28.1342468,2024-10-29 11:02:54
18676626,EAFP7,-15.4131203,28.1527557,2024-10-29 11:03:52
18676627,QLJD0,-15.4122238,28.0962296,2024-10-29 11:03:54
18676628,YIFR2,-15.3899517,27.9649277,2024-10-29 11:03:54
18676629,CYEL8,-15.4152708,28.1309185,2024-10-29 11:03:54
18676744,EAFP7,-15.4131203,28.1527557,2024-10-29 11:04:51
18676745,QLJD0,-15.4122238,28.0962296,2024-10-29 11:04:54
